accessibility,population_acc1km_percentage_young,population_acc1km_percentage_female,population_acc1km_percentage_child,population_acc1km_percentage_middle,population_acc1km_percentage_elder,population_acc1km_percentage_male,population_acc1km_percentage,population_acc1km_percentage_BuiltUp,population_acc1km_percentage_Other
10259.3,15.37,16.36,6.04,5.91,5.75,16.71,33.08,33.08,0.0
10259.31,1.37,2.72,1.35,1.13,1.7,2.82,5.54,0.0,5.54
10259.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10259.87,3.97,4.23,1.56,1.53,1.49,4.32,8.55,8.55,0.0
10260.3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
10260.75,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0
10260.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10260.84,33.86,39.56,22.27,12.37,12.99,41.93,81.5,81.5,0.0
10261.0,24.26,30.98,20.73,10.11,8.83,32.95,63.93,63.93,0.0
10261.24,32.69,38.19,21.5,11.95,12.54,40.48,78.68,78.68,0.0
10261.37,1.94,3.71,1.6,1.61,2.35,3.78,7.49,7.49,0.0
10261.44,4.07,7.07,4.14,2.91,2.88,6.93,14.0,14.0,0.0
10261.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10261.72,18.93,22.74,13.81,7.93,7.28,25.23,47.96,47.96,0.0
10261.84,13.97,20.72,9.53,7.91,9.5,20.2,40.91,40.91,0.0
10262.25,21.28,22.37,7.59,6.87,9.61,22.98,45.35,45.35,0.0
10262.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10262.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10262.64,2.1,4.49,1.78,1.82,3.34,4.55,9.04,9.04,0.0
10262.69,7.8,9.77,5.68,3.8,3.16,10.66,20.44,20.44,0.0
10263.11,2.08,3.04,1.45,1.14,1.47,3.1,6.14,0.0,6.14
10263.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10263.51,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.0,0.02
10263.58,25.1,29.32,16.51,9.17,9.63,31.08,60.41,60.41,0.0
10263.74,0.86,1.56,0.65,0.71,0.92,1.59,3.15,3.15,0.0
10263.93,14.89,14.28,5.97,4.32,4.16,15.06,29.34,29.32,0.02
10264.54,40.21,47.4,33.55,15.59,8.68,50.64,98.04,98.04,0.0
