accessibility,population_acc1km_percentage_young,population_acc1km_percentage_female,population_acc1km_percentage_child,population_acc1km_percentage_middle,population_acc1km_percentage_elder,population_acc1km_percentage_male,population_acc1km_percentage,population_acc1km_percentage_BuiltUp,population_acc1km_percentage_Other
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
3.68,0.07,0.1,0.05,0.04,0.05,0.1,0.2,0.2,0.0
5.63,3.45,6.17,2.38,1.99,3.8,5.45,11.61,11.61,0.0
5.72,0.25,0.78,0.17,0.26,0.76,0.66,1.44,1.44,0.0
6.1,10.65,13.28,6.39,5.06,4.25,13.06,26.34,26.34,0.0
6.46,0.14,0.24,0.09,0.09,0.15,0.23,0.47,0.47,0.0
6.58,0.04,0.05,0.03,0.02,0.02,0.05,0.11,0.11,0.0
8.9,32.03,45.46,23.2,14.51,18.92,43.21,88.67,88.67,0.0
8.91,1.36,1.95,0.55,0.83,1.24,2.03,3.98,3.98,0.0
9.13,1.1,2.61,1.04,1.06,1.99,2.59,5.2,5.2,0.0
9.51,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.05,0.0
10.38,1.09,3.38,0.76,1.12,3.31,2.9,6.28,6.28,0.0
10.44,0.29,0.38,0.17,0.14,0.17,0.39,0.77,0.77,0.0
10.56,3.09,4.03,2.19,1.4,1.35,4.0,8.03,8.03,0.0
10.66,1.86,3.48,1.48,1.27,2.07,3.2,6.68,6.68,0.0
11.32,1.49,1.78,1.05,0.58,0.54,1.88,3.66,3.66,0.0
11.41,11.67,16.11,8.04,6.33,6.32,16.25,32.36,32.36,0.0
11.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
12.25,6.48,10.85,5.8,4.82,4.56,10.8,21.65,21.65,0.0
12.3,3.12,7.19,2.7,2.62,5.54,6.79,13.98,13.98,0.0
12.55,7.26,8.92,4.25,2.77,3.55,8.91,17.83,17.83,0.0
12.65,7.28,8.81,3.99,2.67,3.43,8.55,17.36,17.36,0.0
12.73,7.26,11.71,4.57,3.92,7.32,11.36,23.07,23.07,0.0
12.76,1.83,2.73,1.08,0.96,1.43,2.57,5.3,5.3,0.0
13.73,0.24,0.44,0.2,0.18,0.27,0.45,0.89,0.89,0.0
14.57,0.32,0.41,0.18,0.15,0.17,0.41,0.83,0.83,0.0
14.8,7.05,9.2,4.92,3.58,3.06,9.4,18.61,18.61,0.0
14.94,5.26,9.18,4.06,3.54,5.51,9.19,18.37,18.37,0.0
15.33,0.6,1.12,0.35,0.44,0.93,1.21,2.32,2.32,0.0
15.66,1.03,1.32,0.63,0.48,0.57,1.38,2.7,2.7,0.0
15.7,0.15,0.34,0.16,0.13,0.24,0.33,0.67,0.67,0.0
15.84,0.69,1.02,0.48,0.38,0.46,0.99,2.01,2.01,0.0
15.86,15.34,18.68,10.76,6.2,5.4,19.02,37.69,37.69,0.0
16.32,11.7,15.08,8.47,5.23,5.54,15.87,30.94,30.94,0.0
16.35,0.13,0.22,0.09,0.08,0.14,0.22,0.44,0.44,0.0
16.4,0.22,0.29,0.14,0.11,0.12,0.29,0.58,0.58,0.0
16.63,0.04,0.06,0.03,0.02,0.03,0.06,0.12,0.12,0.0
16.8,8.38,11.3,5.06,4.12,5.1,11.36,22.66,22.66,0.0
17.0,8.13,10.65,4.93,4.03,4.61,11.05,21.7,21.7,0.0
17.24,0.14,0.17,0.09,0.07,0.05,0.18,0.35,0.35,0.0
17.42,9.52,14.93,6.4,5.05,7.99,14.01,28.95,28.95,0.0
17.57,6.51,11.77,5.28,4.05,6.93,11.0,22.78,22.78,0.0
17.61,2.2,3.04,1.29,1.19,1.48,3.13,6.17,6.17,0.0
17.97,1.46,2.61,1.0,0.84,1.61,2.3,4.91,4.91,0.0
18.0,2.85,3.5,1.82,1.27,1.0,3.44,6.95,6.95,0.0
18.25,13.83,14.99,5.47,4.55,6.64,15.5,30.49,30.49,0.0
18.89,14.46,14.73,8.85,4.78,3.4,16.76,31.49,31.49,0.0
19.03,4.22,5.37,2.25,1.68,2.42,5.21,10.57,10.57,0.0
19.14,2.39,3.19,1.54,1.18,1.42,3.35,6.54,6.54,0.0
19.18,0.58,0.99,0.32,0.4,0.54,0.86,1.85,1.85,0.0
19.53,6.68,10.77,4.21,3.61,6.73,10.45,21.22,21.22,0.0
20.22,16.13,26.02,10.16,8.71,16.25,25.23,51.25,51.25,0.0
20.44,2.45,4.39,1.8,1.92,2.49,4.27,8.67,8.67,0.0
20.72,1.24,2.22,1.06,0.98,1.14,2.2,4.42,4.42,0.0
21.16,0.27,0.23,0.1,0.08,0.05,0.26,0.49,0.49,0.0
21.95,0.33,0.39,0.21,0.13,0.11,0.4,0.79,0.79,0.0
22.22,0.71,1.67,0.55,0.65,1.33,1.57,3.24,3.24,0.0
22.41,0.2,0.61,0.14,0.2,0.59,0.52,1.13,1.13,0.0
22.42,14.73,16.66,9.85,5.28,3.66,16.86,33.52,33.52,0.0
23.2,0.55,1.27,0.48,0.46,0.98,1.2,2.47,2.47,0.0
23.37,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
23.67,0.28,0.4,0.17,0.14,0.21,0.41,0.81,0.81,0.0
23.88,0.66,0.83,0.43,0.35,0.25,0.85,1.68,0.0,1.68
23.95,1.37,2.52,1.08,0.88,1.53,2.36,4.88,4.88,0.0
23.99,1.44,2.41,0.91,0.89,1.5,2.34,4.75,4.75,0.0
24.09,0.62,0.98,0.49,0.44,0.41,1.0,1.97,1.97,0.0
24.13,7.03,8.44,5.14,2.84,2.3,8.87,17.31,17.31,0.0
24.47,1.43,1.15,0.84,0.1,0.1,1.32,2.48,2.48,0.0
24.73,10.92,13.33,7.42,4.59,3.88,13.49,26.82,26.82,0.0
24.95,11.01,14.77,6.6,5.68,6.24,14.76,29.53,29.53,0.0
25.3,0.66,1.09,0.46,0.4,0.67,1.1,2.19,2.19,0.0
25.76,0.02,0.04,0.01,0.02,0.04,0.04,0.09,0.09,0.0
25.78,0.05,0.09,0.03,0.04,0.06,0.09,0.18,0.18,0.0
26.27,4.97,7.58,3.65,3.33,3.44,7.81,15.39,15.39,0.0
26.37,0.16,0.29,0.11,0.09,0.18,0.25,0.54,0.54,0.0
26.7,5.59,8.98,4.37,3.88,4.02,8.88,17.86,17.86,0.0
26.79,6.81,9.44,4.45,3.03,4.23,9.09,18.53,18.53,0.0
26.8,1.23,0.99,0.73,0.09,0.09,1.14,2.14,2.14,0.0
26.84,0.12,0.16,0.14,0.06,0.04,0.19,0.35,0.35,0.0
26.95,4.73,7.38,3.61,3.31,3.3,7.57,14.95,0.0,14.95
27.02,0.01,0.03,0.01,0.01,0.03,0.03,0.06,0.06,0.0
27.45,1.62,1.84,0.97,0.56,0.51,1.82,3.66,3.66,0.0
27.63,3.84,9.71,3.41,3.06,7.42,8.02,17.72,17.72,0.0
27.88,0.17,0.29,0.16,0.13,0.12,0.29,0.58,0.58,0.0
27.97,0.04,0.1,0.03,0.04,0.08,0.09,0.18,0.18,0.0
28.13,24.67,26.75,9.76,8.12,11.85,27.65,54.4,54.4,0.0
28.2,0.12,0.16,0.09,0.06,0.07,0.16,0.33,0.33,0.0
28.4,0.06,0.2,0.04,0.07,0.19,0.17,0.37,0.37,0.0
28.55,6.15,7.88,3.45,2.95,3.25,7.92,15.8,15.8,0.0
28.59,0.17,0.15,0.08,0.02,0.01,0.13,0.28,0.28,0.0
28.65,9.3,13.38,5.82,5.0,6.48,13.22,26.6,26.6,0.0
28.77,0.96,2.27,0.9,0.92,1.73,2.24,4.51,4.51,0.0
28.92,0.1,0.14,0.07,0.05,0.06,0.14,0.28,0.28,0.0
29.12,0.25,0.33,0.18,0.12,0.13,0.34,0.67,0.67,0.0
29.14,7.67,10.21,5.69,3.4,2.89,9.43,19.64,19.64,0.0
29.22,0.38,0.71,0.22,0.28,0.59,0.76,1.47,1.47,0.0
29.54,3.86,5.58,2.58,2.2,2.57,5.62,11.2,11.2,0.0
29.71,0.92,2.22,0.96,0.87,1.65,2.18,4.4,4.4,0.0
29.89,10.35,13.5,7.22,5.25,4.48,13.8,27.3,27.3,0.0
29.97,0.01,0.02,0.01,0.01,0.01,0.02,0.03,0.03,0.0
30.08,0.74,1.4,0.71,0.56,0.74,1.33,2.73,2.73,0.0
30.34,1.23,2.19,0.84,0.71,1.35,1.93,4.12,4.12,0.0
30.55,15.98,21.98,10.73,8.31,9.44,22.48,44.46,44.46,0.0
30.6,10.76,12.2,6.41,3.71,3.37,12.05,24.25,24.25,0.0
30.72,7.2,10.76,4.27,3.79,5.64,10.14,20.9,20.9,0.0
30.93,7.02,9.16,4.89,3.56,3.04,9.36,18.51,18.51,0.0
31.05,6.45,8.63,3.85,3.52,4.12,9.3,17.94,17.94,0.0
31.47,0.04,0.07,0.04,0.03,0.03,0.07,0.14,0.14,0.0
32.02,2.49,2.24,1.26,0.3,0.21,2.03,4.27,4.27,0.0
32.17,4.96,4.45,2.51,0.6,0.42,4.04,8.49,8.49,0.0
32.18,0.12,0.18,0.09,0.08,0.08,0.18,0.36,0.36,0.0
32.33,0.9,1.24,0.61,0.45,0.48,1.2,2.44,2.44,0.0
32.53,0.02,0.03,0.01,0.01,0.02,0.03,0.06,0.06,0.0
32.71,3.09,9.56,2.15,3.15,9.34,8.18,17.74,17.74,0.0
32.77,1.01,1.45,0.68,0.49,0.64,1.37,2.82,2.82,0.0
32.9,8.47,10.69,5.5,4.49,3.22,10.98,21.67,21.67,0.0
33.19,0.06,0.1,0.05,0.04,0.05,0.1,0.2,0.2,0.0
33.32,4.2,7.57,3.45,2.8,4.17,7.04,14.61,14.61,0.0
33.57,0.1,0.12,0.06,0.05,0.04,0.12,0.24,0.24,0.0
33.78,1.45,2.02,1.11,0.71,0.79,2.05,4.06,4.06,0.0
33.87,0.4,0.55,0.3,0.19,0.21,0.54,1.09,1.09,0.0
33.97,0.27,0.49,0.22,0.17,0.29,0.46,0.95,0.95,0.0
34.01,2.8,4.67,1.77,1.73,2.92,4.55,9.22,9.22,0.0
34.11,19.25,25.84,11.1,9.13,10.29,23.93,49.76,49.76,0.0
34.3,0.17,0.3,0.12,0.1,0.19,0.27,0.57,0.57,0.0
34.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.63,0.11,0.14,0.06,0.04,0.05,0.13,0.27,0.27,0.0
34.88,10.22,12.38,5.6,3.74,4.82,12.01,24.39,24.39,0.0
35.08,7.57,9.14,3.81,2.74,3.64,8.62,17.76,17.76,0.0
35.2,12.8,15.4,11.75,4.98,2.88,17.01,32.41,32.41,0.0
35.33,7.53,10.11,4.34,3.57,4.03,9.36,19.47,19.47,0.0
35.54,24.49,21.98,12.37,2.97,2.08,19.94,41.92,41.92,0.0
35.61,5.08,7.01,3.5,2.76,2.75,7.07,14.09,14.09,0.0
35.78,3.71,5.68,2.62,2.14,2.73,5.52,11.2,11.2,0.0
36.09,5.19,8.34,4.06,3.61,3.73,8.24,16.59,16.59,0.0
36.17,5.33,8.39,3.52,3.13,4.45,8.03,16.43,16.43,0.0
36.32,9.22,12.14,6.8,4.02,4.39,12.29,24.43,24.43,0.0
36.34,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
36.52,0.04,0.05,0.02,0.02,0.02,0.05,0.09,0.09,0.0
36.56,0.04,0.06,0.05,0.02,0.01,0.07,0.14,0.14,0.0
36.58,0.24,0.22,0.12,0.03,0.02,0.2,0.41,0.41,0.0
36.6,13.01,11.68,6.57,1.58,1.11,10.59,22.27,22.27,0.0
36.62,15.36,19.08,11.72,6.01,4.85,18.86,37.94,37.94,0.0
36.65,4.35,6.75,3.07,2.68,3.19,6.55,13.29,13.29,0.0
37.04,1.01,1.24,0.59,0.38,0.49,1.24,2.48,2.48,0.0
37.31,2.14,2.7,1.39,1.13,0.81,2.77,5.47,5.47,0.0
37.44,6.84,9.31,4.57,3.17,4.59,9.87,19.17,19.17,0.0
37.49,10.84,9.73,5.48,1.32,0.92,8.83,18.56,18.56,0.0
37.52,1.86,2.31,1.11,0.88,0.74,2.28,4.59,4.59,0.0
37.71,6.86,9.0,4.16,3.4,3.9,9.33,18.32,18.32,0.0
37.73,29.17,34.82,22.52,10.5,7.94,35.31,70.14,70.14,0.0
37.75,0.23,0.38,0.17,0.16,0.19,0.37,0.75,0.75,0.0
37.78,1.84,3.44,1.46,1.26,2.04,3.16,6.6,6.6,0.0
37.97,6.63,8.14,3.88,2.53,3.24,8.14,16.28,16.28,0.0
38.25,0.03,0.04,0.02,0.02,0.02,0.04,0.08,0.08,0.0
38.32,0.51,0.79,0.26,0.34,0.48,0.8,1.59,1.59,0.0
38.46,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0
38.94,0.08,0.11,0.05,0.04,0.05,0.11,0.22,0.22,0.0
39.05,10.32,13.85,6.96,4.66,5.9,13.99,27.84,27.84,0.0
39.35,0.03,0.04,0.02,0.02,0.02,0.04,0.08,0.08,0.0
39.58,18.79,22.57,12.06,7.41,7.07,22.76,45.33,45.33,0.0
39.75,17.64,25.33,13.58,10.02,10.06,25.97,51.3,51.3,0.0
39.9,5.22,8.4,4.09,3.63,3.76,8.3,16.7,16.7,0.0
39.97,20.79,26.59,14.66,7.74,8.75,25.36,51.94,51.94,0.0
40.02,0.77,0.98,0.52,0.36,0.36,1.04,2.01,2.01,0.0
40.06,13.18,16.84,8.29,5.68,6.07,16.38,33.22,33.22,0.0
40.11,1.44,2.32,1.13,1.0,1.04,2.29,4.62,0.0,4.62
40.22,0.01,0.01,0.0,0.0,0.0,0.01,0.02,0.02,0.0
40.23,5.63,7.54,3.36,3.07,3.6,8.12,15.66,15.66,0.0
40.24,4.13,7.47,3.35,2.57,4.4,6.98,14.45,14.45,0.0
40.26,1.83,3.03,1.28,1.12,1.85,3.06,6.09,6.09,0.0
40.29,0.24,0.35,0.17,0.13,0.15,0.34,0.7,0.7,0.0
40.58,5.36,5.58,2.64,1.72,1.54,5.68,11.25,11.25,0.0
40.59,0.3,0.71,0.28,0.29,0.54,0.7,1.41,1.41,0.0
40.62,0.15,0.46,0.1,0.15,0.45,0.39,0.85,0.85,0.0
40.66,1.03,1.76,0.73,0.69,1.01,1.7,3.46,3.46,0.0
40.74,0.59,0.99,0.53,0.44,0.42,0.99,1.98,1.98,0.0
40.97,0.02,1.21,0.01,0.09,1.8,0.7,1.91,1.91,0.0
41.04,0.06,0.07,0.04,0.02,0.02,0.07,0.14,0.14,0.0
41.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.17,0.17,0.32,0.1,0.13,0.27,0.34,0.66,0.66,0.0
41.25,8.89,8.74,4.37,2.26,1.73,8.51,17.25,17.25,0.0
41.31,7.01,9.6,5.26,3.24,3.61,9.52,19.12,19.12,0.0
41.35,4.44,6.18,2.7,2.51,3.25,6.71,12.9,12.9,0.0
41.36,2.61,4.44,1.45,1.79,2.45,3.86,8.3,8.3,0.0
41.49,11.61,14.9,7.06,5.38,6.39,15.53,30.43,30.43,0.0
41.55,14.87,23.42,9.82,8.74,12.41,22.42,45.84,45.84,0.0
41.62,0.29,0.58,0.27,0.25,0.4,0.63,1.21,1.21,0.0
42.06,0.02,0.03,0.01,0.01,0.01,0.03,0.06,0.06,0.0
42.32,1.64,2.51,1.21,1.1,1.14,2.58,5.09,5.09,0.0
42.35,0.31,0.37,0.2,0.13,0.11,0.38,0.75,0.75,0.0
42.39,2.72,6.57,2.84,2.59,4.89,6.48,13.05,13.05,0.0
42.5,7.61,12.23,5.95,5.29,5.48,12.09,24.33,24.33,0.0
42.7,1.73,2.72,1.14,1.02,1.44,2.6,5.32,5.32,0.0
42.72,2.2,3.66,1.39,1.36,2.29,3.57,7.24,7.24,0.0
42.76,7.07,11.8,4.47,4.38,7.37,11.5,23.3,23.3,0.0
42.88,1.69,2.58,1.24,1.13,1.17,2.66,5.25,5.25,0.0
42.95,0.01,0.02,0.01,0.01,0.01,0.02,0.04,0.04,0.0
43.06,4.76,8.6,3.86,2.96,5.06,8.03,16.63,16.63,0.0
43.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.22,0.59,0.84,0.4,0.28,0.37,0.79,1.63,1.63,0.0
43.46,4.38,10.56,4.57,4.17,7.86,10.41,20.98,20.98,0.0
43.48,1.27,1.75,0.87,0.69,0.69,1.77,3.52,3.52,0.0
43.56,1.55,2.49,1.21,1.08,1.11,2.46,4.95,0.0,4.95
43.68,2.23,3.98,1.53,1.28,2.45,3.51,7.49,0.0,7.49
43.69,0.06,0.09,0.04,0.03,0.04,0.09,0.18,0.18,0.0
43.83,2.78,3.99,1.88,1.34,1.75,3.76,7.74,7.74,0.0
44.0,1.74,2.17,1.04,0.83,0.69,2.13,4.3,4.3,0.0
44.12,0.19,0.24,0.13,0.1,0.07,0.25,0.49,0.49,0.0
44.13,0.29,0.26,0.14,0.03,0.02,0.23,0.49,0.49,0.0
44.18,1.24,1.7,0.93,0.57,0.64,1.69,3.38,3.38,0.0
44.37,0.11,0.13,0.07,0.04,0.03,0.12,0.25,0.25,0.0
44.4,4.43,6.55,3.19,2.51,2.82,6.39,12.94,12.94,0.0
44.56,17.25,22.71,12.71,7.52,8.2,22.98,45.69,45.69,0.0
44.59,7.49,9.97,4.72,3.77,4.04,10.04,20.01,20.01,0.0
44.68,3.06,7.23,2.89,2.93,5.52,7.16,14.4,14.4,0.0
44.72,0.78,0.77,0.38,0.2,0.15,0.75,1.52,1.52,0.0
44.87,0.32,0.28,0.16,0.04,0.03,0.26,0.54,0.54,0.0
44.92,2.25,4.06,1.85,1.5,2.24,3.78,7.84,7.84,0.0
45.05,3.33,6.01,2.78,2.35,3.58,6.02,12.03,12.03,0.0
45.06,2.87,2.58,1.45,0.35,0.24,2.34,4.92,4.92,0.0
45.09,0.72,0.98,0.54,0.33,0.37,0.97,1.95,1.95,0.0
45.13,15.68,17.0,6.2,5.16,7.53,17.58,34.58,34.58,0.0
45.23,10.04,13.37,6.02,4.87,5.92,13.49,26.85,26.85,0.0
45.44,1.78,2.46,1.04,0.96,1.2,2.52,4.98,4.98,0.0
45.53,0.23,0.21,0.12,0.03,0.02,0.19,0.39,0.39,0.0
45.62,5.57,6.7,5.11,2.16,1.25,7.4,14.09,14.09,0.0
45.68,1.89,1.69,0.95,0.23,0.16,1.53,3.23,3.23,0.0
45.82,4.37,7.29,2.76,2.71,4.56,7.11,14.4,14.4,0.0
45.89,0.6,0.72,0.33,0.22,0.28,0.7,1.43,1.43,0.0
45.95,0.22,0.43,0.2,0.19,0.3,0.47,0.9,0.0,0.9
46.16,7.64,9.08,4.83,3.47,3.18,10.03,19.11,19.11,0.0
46.22,0.02,0.02,0.01,0.01,0.01,0.02,0.04,0.04,0.0
46.39,2.53,3.02,1.95,0.91,0.69,3.06,6.07,6.07,0.0
46.47,0.02,1.63,0.01,0.12,2.42,0.94,2.57,2.57,0.0
46.48,11.98,17.31,8.19,6.79,7.5,17.15,34.46,34.46,0.0
46.5,13.37,16.42,7.83,5.11,6.53,16.41,32.84,32.84,0.0
46.6,1.37,1.68,0.63,0.61,0.8,1.73,3.41,3.41,0.0
46.75,0.62,1.05,0.44,0.41,0.6,1.01,2.07,2.07,0.0
46.77,3.15,9.75,2.2,3.22,9.53,8.35,18.1,18.1,0.0
46.8,0.99,1.83,0.57,0.72,1.53,1.98,3.82,3.82,0.0
46.81,0.13,0.16,0.07,0.05,0.06,0.16,0.31,0.31,0.0
46.85,9.26,10.76,4.59,3.42,3.74,10.25,21.0,21.0,0.0
47.0,4.53,7.04,3.22,2.69,3.67,7.08,14.12,14.12,0.0
47.02,0.13,0.4,0.09,0.13,0.39,0.34,0.74,0.74,0.0
47.08,0.02,0.03,0.02,0.01,0.01,0.03,0.06,0.06,0.0
47.35,3.5,6.32,2.84,2.17,3.72,5.91,12.23,12.23,0.0
47.37,3.92,7.54,2.91,3.19,5.19,7.66,15.21,15.21,0.0
47.44,9.59,12.36,6.94,4.29,4.54,13.0,25.36,25.36,0.0
47.46,0.12,0.22,0.08,0.07,0.13,0.19,0.41,0.41,0.0
47.48,7.7,13.76,5.3,4.44,8.47,12.15,25.92,25.92,0.0
47.58,5.91,6.14,2.9,1.89,1.7,6.25,12.4,12.4,0.0
47.59,0.41,0.74,0.33,0.26,0.44,0.7,1.44,1.44,0.0
47.67,0.07,0.16,0.05,0.06,0.12,0.15,0.3,0.3,0.0
47.69,0.41,0.52,0.23,0.19,0.21,0.52,1.04,1.04,0.0
47.81,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0
47.93,0.27,0.49,0.19,0.16,0.3,0.43,0.91,0.91,0.0
48.04,18.44,26.42,7.51,11.29,16.75,27.56,53.99,53.99,0.0
48.09,2.84,3.48,1.3,1.26,1.66,3.59,7.07,7.07,0.0
48.17,0.26,0.34,0.16,0.13,0.14,0.34,0.68,0.68,0.0
48.24,0.04,0.09,0.03,0.03,0.07,0.08,0.17,0.17,0.0
48.31,1.18,1.58,0.68,0.56,0.63,1.46,3.04,3.04,0.0
48.45,5.92,7.79,4.36,2.58,2.81,7.88,15.67,15.67,0.0
48.86,1.17,1.79,0.86,0.78,0.81,1.84,3.63,3.63,0.0
48.87,0.26,0.41,0.19,0.16,0.19,0.4,0.8,0.8,0.0
48.88,0.32,0.59,0.26,0.2,0.35,0.55,1.13,1.13,0.0
48.97,12.84,17.08,8.08,6.45,6.92,17.21,34.3,34.3,0.0
49.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
49.14,1.59,2.3,1.06,0.91,1.06,2.32,4.62,4.62,0.0
49.54,12.98,15.43,8.21,5.9,5.4,17.05,32.49,32.49,0.0
49.56,3.67,5.37,2.53,1.99,2.44,5.26,10.63,10.63,0.0
49.73,0.56,1.32,0.53,0.53,1.01,1.31,2.63,2.63,0.0
49.78,0.03,0.04,0.03,0.01,0.01,0.04,0.08,0.08,0.0
49.88,0.21,0.51,0.17,0.2,0.4,0.47,0.98,0.98,0.0
49.92,0.08,0.15,0.06,0.05,0.09,0.13,0.28,0.28,0.0
50.03,3.58,4.52,2.41,1.68,1.65,4.8,9.32,9.32,0.0
50.04,23.96,25.97,9.48,7.89,11.51,26.85,52.83,52.83,0.0
50.06,0.02,0.03,0.01,0.01,0.01,0.03,0.06,0.06,0.0
50.24,4.47,8.61,3.32,3.64,5.92,8.74,17.35,17.35,0.0
50.32,0.94,1.45,0.45,0.51,0.95,1.38,2.84,2.84,0.0
50.34,0.01,0.01,0.0,0.0,0.01,0.01,0.02,0.02,0.0
50.5,2.56,3.1,1.4,0.94,1.21,3.01,6.11,6.11,0.0
50.51,10.44,15.6,6.2,5.5,8.17,14.7,30.3,30.3,0.0
50.56,0.93,1.18,0.74,0.41,0.37,1.27,2.45,2.45,0.0
50.65,1.2,1.64,0.85,0.56,0.68,1.64,3.28,3.28,0.0
50.69,1.14,1.73,0.84,0.76,0.79,1.79,3.52,3.52,0.0
50.74,0.01,0.03,0.01,0.01,0.03,0.03,0.06,0.06,0.0
50.76,0.85,1.17,0.57,0.43,0.45,1.13,2.3,2.3,0.0
50.8,11.88,15.13,8.19,4.94,4.86,14.74,29.87,29.87,0.0
50.81,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
50.91,0.04,0.06,0.03,0.02,0.03,0.06,0.13,0.13,0.0
50.99,0.02,0.04,0.01,0.01,0.03,0.03,0.07,0.07,0.0
51.09,1.24,2.24,1.0,0.77,1.32,2.09,4.33,4.33,0.0
51.11,16.89,24.19,6.88,10.34,15.34,25.24,49.44,49.44,0.0
51.15,5.86,7.11,3.52,2.52,2.48,7.27,14.38,14.38,0.0
51.18,0.02,0.03,0.01,0.01,0.02,0.03,0.06,0.06,0.0
51.19,5.3,7.76,3.66,2.88,3.52,7.59,15.36,15.36,0.0
51.3,0.62,0.69,0.39,0.21,0.17,0.69,1.38,1.38,0.0
51.31,9.77,14.3,6.74,5.31,6.48,13.99,28.29,28.29,0.0
51.35,0.02,0.02,0.01,0.01,0.01,0.03,0.05,0.05,0.0
51.38,11.44,18.39,9.13,7.86,8.55,18.59,36.98,36.98,0.0
51.42,1.68,2.02,1.01,0.58,0.6,1.86,3.88,3.88,0.0
51.55,0.55,1.04,0.53,0.41,0.55,0.99,2.03,2.03,0.0
51.68,8.78,13.12,5.21,4.62,6.88,12.37,25.49,25.49,0.0
51.77,6.47,9.28,4.37,3.11,4.07,8.74,18.02,18.02,0.0
51.8,0.75,0.97,0.42,0.36,0.4,0.97,1.94,1.94,0.0
51.82,0.11,0.17,0.07,0.06,0.09,0.16,0.33,0.33,0.0
51.84,10.42,13.37,6.33,4.82,5.73,13.93,27.3,27.3,0.0
51.88,2.9,4.29,2.09,1.64,1.85,4.19,8.47,8.47,0.0
51.89,1.07,1.97,0.61,0.78,1.64,2.13,4.11,4.11,0.0
51.9,1.67,2.97,1.15,0.96,1.83,2.63,5.6,5.6,0.0
51.91,0.12,0.23,0.11,0.1,0.16,0.25,0.48,0.48,0.0
52.07,13.81,20.53,10.09,6.76,9.62,19.75,40.27,40.27,0.0
52.46,0.04,0.07,0.04,0.03,0.03,0.07,0.15,0.15,0.0
52.68,0.35,0.83,0.33,0.33,0.63,0.82,1.65,1.65,0.0
52.94,6.5,8.56,4.79,2.84,3.09,8.66,17.22,17.22,0.0
53.04,1.07,1.78,0.68,0.66,1.11,1.74,3.52,3.52,0.0
53.15,12.95,19.25,9.47,6.34,9.02,18.52,37.77,37.77,0.0
53.22,4.7,7.33,3.59,3.28,3.27,7.52,14.85,14.85,0.0
53.23,0.89,2.11,0.84,0.86,1.61,2.09,4.21,4.21,0.0
53.32,0.03,0.05,0.01,0.02,0.04,0.05,0.1,0.1,0.0
53.45,0.95,1.48,0.75,0.66,0.63,1.51,2.99,2.99,0.0
53.47,0.15,0.2,0.11,0.07,0.08,0.21,0.42,0.42,0.0
53.5,1.58,2.42,1.16,1.06,1.1,2.49,4.9,4.9,0.0
53.57,1.13,1.93,0.8,0.75,1.11,1.86,3.79,3.79,0.0
53.68,2.18,3.5,1.7,1.51,1.57,3.46,6.97,6.97,0.0
53.75,0.25,0.46,0.18,0.17,0.29,0.43,0.88,0.88,0.0
53.93,5.44,7.3,3.13,2.58,2.91,6.76,14.05,0.0,14.05
54.0,15.92,14.28,8.04,1.93,1.35,12.96,27.25,27.25,0.0
54.07,0.89,1.16,0.62,0.45,0.39,1.19,2.35,2.35,0.0
54.08,18.4,22.53,5.15,9.1,13.06,23.19,45.72,45.72,0.0
54.2,6.42,10.32,5.02,4.46,4.62,10.2,20.52,20.52,0.0
54.37,0.02,0.03,0.01,0.01,0.02,0.03,0.06,0.06,0.0
54.42,3.15,4.65,2.26,1.78,2.0,4.54,9.19,9.19,0.0
54.47,4.96,7.61,3.51,2.87,3.66,7.39,15.0,15.0,0.0
54.58,0.03,0.04,0.02,0.02,0.02,0.04,0.09,0.09,0.0
54.99,10.17,12.83,6.6,5.38,3.86,13.18,26.01,0.0,26.01
55.0,15.62,21.38,9.64,7.88,9.55,21.32,42.69,42.69,0.0
55.03,0.03,0.04,0.02,0.01,0.02,0.04,0.07,0.07,0.0
55.09,10.04,13.47,6.77,4.53,5.74,13.61,27.07,27.07,0.0
55.11,1.04,1.92,0.86,0.78,1.18,1.94,3.86,3.86,0.0
55.25,2.86,5.35,2.27,1.96,3.17,4.91,10.26,10.26,0.0
55.35,7.14,9.63,4.31,3.51,4.35,9.68,19.3,19.3,0.0
55.39,0.1,0.12,0.05,0.04,0.06,0.13,0.25,0.25,0.0
55.42,2.76,4.99,2.31,1.95,2.97,5.0,9.99,9.99,0.0
