value,evcs
2.0370314e-15,0
18.453547,0
0.0008998954,0
0.007576119,0
13.4595175,0
0.0004909429,0
3.3683766e-14,0
0.025572028,0
0.0076041156,0
160.56721,0
0.0056913383,0
1609.1459,0
540.5193,0
0.0012868504,0
1047.3978,0
1740.9081,0
0.004920428,0
8.402733e-14,0
0.0010268806,0
2.1075969,0
1.6211376,0
0.0016068132,0
0.033060156,0
1.513223,0
0.005038414,0
0.7090545,0
0.0028686665,0
1.7045629,0
0.008012068,0
0.06337063,0
2.6806014,0
0.0008918963,0
5.2631383,0
23.135757,0
21.53015,0
2.203378,0
3.3367062,0
3.2410913,0
9.720318,0
1.5134431,0
9.371202,0
2.761184,0
0.0189138,0
12.910835,0
2.5600336,0
2.2392416,0
1.3563123,0
0.43408957,0
4.0543194,0
73.80843,0
1.1300256,0
2.4377885,0
3.7912133,0
1.9488153,0
6.090037,0
14.465299,0
7.980801,0
16.339006,0
2.2235646,0
37.589226,0
97.26445,0
123.15048,0
83.62131,0
23.535625,0
0.047960423,0
4.3094587,0
0.75405735,0
1.6459939e-14,0
1.4336534,0
3.673827,0
6.7724047,0
1.6178028e-13,0
2.0528762,0
1.8336408,0
0.009845856,0
0.089245625,0
0.09020351,0
3.9791105,0
129.0534,0
17.884712,0
0.0020237647,0
3.1564893e-14,0
0.010032834,0
0.009871853,0
0.00030496455,0
0.028771656,0
0.0026946866,0
0.085307084,0
1.1058074,0
2.1075819,0
0.054418676,0
3.833669e-11,0
3.4454929e-13,0
0.65422994,0
0.0044144867,0
0.0033346124,0
0.0016788048,0
0.11048415,0
0.014836275,0
0.0016518079,0
0.0022647367,0
8.0098776e-14,0
0.008120055,0
0.0010128822,0
0.002072759,0
0.022570375,0
0.0031066388,0
0.0013408441,0
0.010820742,0
0.0022497387,0
0.011447669,0
3.4844057e-13,0
0.0369887,0
0.0116406465,0
0.0055973497,0
0.007495129,0
0.0009608883,0
0.10414589,0
3.1501233e-14,0
4.6378836e-15,0
0.0077381004,0
1.3562973,0
0.003242623,0
0.10900632,0
8.320909e-14,0
1.2284026e-13,0
0.012708523,0
0.0018297873,0
0.0048314384,0
0.006054296,0
0.0034975936,0
1.3816315,0
0.050830092,0
0.013690408,0
0.003234624,0
0.00413052,0
0.000987885,0
0.9697492,0
0.04284202,0
0.00025796998,0
0.00014998257,0
0.0074021393,0
0.08222744,0
0.08896366,0
0.00013398443,0
21.338411,0
9.198931e-05,0
1.9015009,0
0.014908267,0
0.022479387,0
4.0229163,0
0.000128985,0
0.6664255,0
0.006004302,0
7.431508e-14,0
0.0009788861,0
0.021058552,0
0.0017327985,0
9.598884e-05,0
0.73942804,0
2.5498667,0
24.947895,0
5.6488075,0
6.8325176,0
24.684317,0
16.814028,0
0.6400576,0
0.0017607954,0
0.0009998837,0
